id,first_name,last_name,alias,employeeNumber,creditCardNumber
1,Victor,Hayes,vhayes0,74-2688377,374288268515078
2,Ann,Diaz,adiaz1,63-7609621,374283867688327
3,Craig,Hunter,chunter2,16-5194276,060484663698180977
4,Richard,Thomas,,23-1329263,3543139564050932
5,Doris,Tucker,,88-6123805,491123155503332236
6,Paula,Greene,,,3583087128035157
7,Paula,Johnston,,89-3277118,374367177084804
8,Mary,Thomas,,17-1500758,5602237833894388
9,Janice,Welch,jwelch8,52-3702006,060446995815104838
10,Nancy,Gutierrez,,49-7562878,3582320914445145
11,Nicole,Fuller,nfullera,01-9646339,4405153027690577
12,Ruby,Kelley,rkelleyb,18-1297749,4905931987370577874
13,Harry,Robertson,,,6709147127310463083
14,Virginia,Hughes,vhughesd,39-9554560,5610616651661328
15,Shawn,Ward,,,4017950572446
16,Rebecca,Riley,,,4911497220265207108
17,Diana,Collins,dcollinsg,,3553720284188552
18,Edward,Riley,,,3573821072194731
19,Chris,Oliver,coliveri,42-0268151,5602245845677154
20,Walter,Ward,,00-3939406,4017957331993398
21,Paula,Gray,,,201458003470850
22,Mildred,Hicks,,,633330784006467052
23,Victor,Peterson,vpetersonm,19-6468367,5602223774008642
24,Ashley,Burke,aburken,,3556535276189054
25,Jesse,Daniels,jdanielso,,676231009800658394
26,Jacqueline,Ray,,,6378338779538441
27,Brenda,Gilbert,bgilbertq,04-0561192,3539626816878397
28,Dorothy,Hamilton,dhamiltonr,10-0034798,3544729459596392
29,Terry,Lopez,,,3576896352194947
30,Janet,Nelson,jnelsont,,346266714002052
31,Helen,Edwards,,,4936462361141571966
32,Kimberly,Moore,,19-1839290,5602217244701323
33,Keith,Fisher,,09-3533250,30456280008713
34,Cynthia,Burke,,99-9048379,3563963831707692
35,Harry,Bowman,,,30392912100836
36,Larry,Ramirez,,,3588833568139719
37,Kelly,Warren,kwarren10,,3576636724155980
38,Wayne,Ruiz,,45-5279474,201642062196551
39,Willie,Powell,wpowell12,35-7393405,3580985018996904
40,Larry,Ramirez,,36-5218647,3577547759721571
41,Carol,Hicks,chicks14,,3539258763633474
42,Anne,Wood,awood15,83-4781670,56022255877713830
43,Nancy,Rose,,76-0306262,30044005175072
44,Jimmy,Cook,jcook17,62-6296466,3537544647088957
45,Laura,Wagner,,,4508890964412376
46,Ronald,Lopez,rlopez19,,3547536408227343
47,Raymond,Lynch,rlynch1a,22-5849183,56022198728936913
48,George,Medina,gmedina1b,29-0387790,3561077737914393
49,Virginia,Lawson,vlawson1c,,3589212692653144
